time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,7.12225003425e-08,-7.29313045637e-08,10.0020971766,6.28289437128,6.2830572608,0.0,8.24534023142e-06,-1.42896257119e-05,0.0699035402298,-0.0169380562367,-0.00678642920498,0.0,426.40649494870564,425.82650511686666,429.08888783464204,427.6488836105816
0.12000000000000001,4.54631117135e-06,-1.08675317926e-05,10.0092826817,6.28181396535,6.28287009308,0.0,0.000170351027965,-0.000452331347886,0.16960292849,-0.0202345903365,0.00335740466069,0.0,436.037814501224,436.884317138928,437.3069315606536,437.03235811958643
0.18,1.90277069115e-05,-6.30970166892e-05,10.0177143766,6.28095965921,9.76676084132e-05,0.0,0.000287599297262,-0.0013682862002,0.111461721512,-0.00434946407646,0.0131330709378,0.0,382.89521821640017,383.823846731048,382.8659538688803,384.3741063392909
0.23999999999999996,3.07336418689e-05,-0.000192471285696,10.0275095217,6.28061083223,0.001304604183,0.0,-2.50608463381e-06,-0.00297524308674,0.21502844189,-0.0089163425997,0.0313225687057,0.0,437.0101875802985,438.5234629360463,438.52748352369287,438.14813127903585
0.3,-5.55917496691e-06,-0.000429698838136,10.0446774196,6.27986240766,0.00302399206962,0.0,-0.00140266269992,-0.00500045391495,0.357199837092,-0.02075664577,0.0227065474034,0.0,450.7161999149687,450.01965343116655,450.4094160284611,449.45108801239064
0.36000000000000004,-0.000166285063611,-0.000812901519106,10.0718294924,6.27836806851,0.00435339535475,0.0,-0.00411000843831,-0.00792891435335,0.547795644968,-0.0348599575534,0.0210338682031,0.0,464.4755853623043,464.34440500478706,465.9855511236087,464.8818465886409
0.4200000000000001,-0.000509136562492,-0.00139766316379,10.1079934891,6.27587005089,0.00575432460859,0.0,-0.00745624443576,-0.0117944728146,0.657611627783,-0.0607704769784,0.0276170650549,0.0,439.4666434720235,440.0119545589996,442.0082758537173,439.86694439922843
0.48000000000000015,-0.00108377371112,-0.00227146521332,10.1505889449,6.27227839515,0.00825126170119,0.0,-0.0119205011981,-0.0177032734783,0.762167833047,-0.0581019618494,0.0605622790111,0.0,437.21122865396313,439.9479881973656,438.9457405536769,439.164525094927
0.5400000000000001,-0.0020144396377,-0.00361017757896,10.2027889052,6.26999662101,0.01198144823,0.0,-0.0195390456178,-0.0272428309731,0.977663188141,-0.0140585212763,0.065203821097,0.0,472.4584295786529,472.8186367305527,471.20400826185534,474.59507106893466
0.6000000000000002,-0.00348170829827,-0.00555313613786,10.2669130887,6.26867705998,0.0166135539511,0.0,-0.0298634265476,-0.0376334246746,1.15963410605,-0.0467815197628,0.0941865769821,0.0,461.52464180979723,463.81045279155353,464.9997809224902,462.4294096327504
0.6600000000000003,-0.00562653247795,-0.00811087992517,10.3388181788,6.26639916146,0.0222708752628,0.0,-0.0421872361627,-0.047870128745,1.2371066432,-0.0244802979767,0.0944919817412,0.0,431.45040810756234,431.4840242274861,429.824959484371,431.70973005934314
0.7200000000000003,-0.00874893096085,-0.0114152198727,10.4207130864,6.26457462366,0.0274347832657,0.0,-0.062576488893,-0.0624701239405,1.49240479949,-0.0461919143543,0.0583284301004,0.0,486.2609398994973,483.54957592415536,486.46757936028297,484.83895765659605
0.7800000000000004,-0.0131138586817,-0.015578627803,10.5143086589,6.26187436475,0.0312713584875,0.0,-0.0833111586533,-0.0765995484525,1.62724677272,-0.0427297186133,0.0732994374022,0.0,449.5627306954422,450.7769226995513,449.9723658819164,450.25138644374846
0.8400000000000004,-0.0189736676603,-0.020758417084,10.6211058825,6.25973321064,0.0357238649356,0.0,-0.112586684315,-0.0963572154756,1.93216831921,-0.0244006486777,0.0759661887037,0.0,500.4929922796238,500.69065141144955,499.48703228741056,500.8213670116552
0.9000000000000005,-0.0265827317394,-0.0270933158442,10.742703471,6.25837175848,0.0404712691168,0.0,-0.141573152405,-0.114960279514,2.12072708225,-0.0194739324698,0.0847860142397,0.0,467.13176577595686,467.82363074121713,468.1681831501873,468.55132624128186
0.9600000000000005,-0.0360078365287,-0.0345531728836,10.8747376005,6.2570922805,0.0451168623598,0.0,-0.173131582831,-0.133828890599,2.2800757759,-0.0253094362053,0.0556394372161,0.0,461.30159584960876,458.9986646863358,459.8776738154249,459.41524748509954
1.0200000000000005,-0.0472128014083,-0.0430537682334,11.0117265398,6.25514295838,0.0484117306392,0.0,-0.20065942812,-0.149670815685,2.28618831724,-0.0534352704775,0.053424240426,0.0,411.43799670395435,411.2441193144191,413.0900655266273,410.6017867035452
1.0800000000000005,-0.0602512838095,-0.0526173116454,11.151592809,6.25155633719,0.0512788747175,0.0,-0.234256864461,-0.169444905671,2.37580748973,-0.0771332980254,0.0330558643621,0.0,440.4677424897177,438.78145402668383,439.4816536114366,437.5102826178323
1.1400000000000006,-0.0753447429487,-0.063436213048,11.2965404508,6.24687217251,0.0527964634431,0.0,-0.269032265396,-0.191640285431,2.45558063141,-0.0800094125771,0.00144068457971,0.0,436.87839199002207,434.234521834005,437.3366167952998,437.0920276822842
1.2000000000000006,-0.0926677358931,-0.0757652701226,11.448527927,6.24160486086,0.0528986584102,0.0,-0.308394594809,-0.219860507995,2.61029808649,-0.111701727903,0.00222331654476,0.0,459.4207545036462,459.48276562413184,462.09189777639153,459.58021632440244
